company_id,company_name,country,industry,founded_year,company_age_years,stage,report_year,annual_revenue,gross_profit,net_profit,ebitda,revenue_growth_yoy,profit_margin,current_ratio,debt_equity_ratio,cash_balance,burn_rate_monthly,runway_months,previous_rounds,total_raised,last_round_amount,founder_ownership_pct,founder_experience_years,num_founders,has_board,has_audited_financials,monthly_active_users,monthly_revenue,customer_count,churn_rate,contracts_value,patents_count,financials_complete,documents_uploaded_count,fraud_flags,market_growth_pct,competition_index,country_risk_score,previous_disbursements_count,last_onchain_tx_age_days,onchain_event_count,team_changes_last_year,founder_criminal_flag,kyc_verified,investor_interest_score,success_count,failure_count,success_rate_pct,label_default_12m
C100000,Company_1,India,Dairy,2006,19,growth,2025,18.95,2.26,2.12,2.26,0.255,0.112,1.61,0.3,4.45,100.0,0.04,0,0.0,0.0,8.75,24,4,0,1,545,1.58,52,0.021,4.55,0,0,7,0,0.059,0.251,0.442,2,134,4,0,0,1,0.127,0,0,70.0,0
C100001,Company_2,India,Healthcare,2005,20,seed,2025,6.5,0.74,-0.76,0.74,-0.554,-0.117,2.82,2.182,1.1,100.0,0.01,3,330719.9,59088.37,9.98,25,4,0,0,507,0.54,46,0.032,0.06,0,0,0,0,0.046,0.3,0.422,6,200,3,1,0,1,0.073,1,2,61.54,0
C100002,Company_3,Germany,Fintech,2014,11,seed,2025,14.78,0.09,-2.32,0.09,0.082,-0.157,2.09,0.943,3.83,100.0,0.04,0,0.0,0.0,45.28,36,1,0,0,461,1.23,57,0.033,1.66,0,1,5,0,0.096,0.163,0.191,4,232,2,2,0,1,0.061,3,2,66.67,0
C100003,Company_4,Kenya,E-commerce,2016,9,mature,2025,14.87,1.22,2.84,1.22,0.076,0.191,2.09,2.042,4.02,100.0,0.04,1,20766.4,37595.79,5.07,17,3,0,1,522,1.24,57,0.008,1.35,0,1,2,0,0.165,0.599,0.373,0,266,3,0,0,0,0.311,2,1,69.23,0
C100004,Company_5,Philippines,Retail,2002,23,series_a,2025,20.22,3.44,3.14,3.44,0.42,0.155,2.84,2.356,6.83,100.0,0.07,1,194864.45,29108.18,57.51,18,2,0,1,513,1.69,44,0.018,9.06,0,1,7,0,0.023,0.302,0.572,5,364,2,2,0,1,0.036,2,1,69.23,0
C100005,Company_6,Nigeria,Healthcare,2008,17,growth,2025,25.77,1.7,4.67,1.7,0.736,0.181,2.95,0.226,4.12,100.0,0.04,0,0.0,0.0,3.28,31,2,0,0,513,2.15,39,0.097,15.31,0,1,1,0,0.037,0.104,0.454,6,312,3,4,0,1,0.054,0,1,63.64,0
C100006,Company_7,Philippines,Healthcare,2025,0,growth,2025,5.49,0.03,0.2,0.03,0.207,0.036,0.59,2.468,1.02,100.0,0.01,2,252927.29,9449.4,56.77,32,4,0,0,494,0.46,41,0.015,1.43,0,1,1,0,0.056,0.085,0.516,4,271,4,4,0,1,0.033,0,1,63.64,0
C100007,Company_8,Canada,AgTech,2009,16,series_a,2025,7.72,1.37,1.39,1.37,0.101,0.18,1.85,2.052,2.41,100.0,0.02,4,467226.29,13721.53,52.82,37,4,0,1,493,0.64,61,0.058,0.32,0,0,6,0,0.059,0.163,0.167,1,113,4,2,0,1,0.074,3,1,71.43,0
C100008,Company_9,Brazil,Logistics,2004,21,seed,2025,47.31,2.25,4.54,2.25,-0.233,0.096,1.44,1.603,11.98,100.0,0.12,0,0.0,0.0,20.3,19,4,0,0,490,3.94,54,0.023,2.6,0,1,3,0,0.079,0.598,0.165,6,220,2,2,0,1,0.177,2,0,75.0,0
C100009,Company_10,USA,Manufacturing,2024,1,seed,2025,13.67,0.96,0.5,0.96,0.051,0.037,1.44,2.115,1.8,100.0,0.02,1,84014.41,57575.83,28.58,20,4,0,0,518,1.14,55,0.113,1.95,0,0,0,0,0.008,0.134,0.263,5,142,0,4,0,1,0.162,0,2,58.33,0
C100010,Company_11,UK,Retail,2007,18,series_a,2025,75.55,14.72,-12.76,14.72,-0.443,-0.169,2.97,2.094,20.6,100.0,0.21,2,365261.6,82431.19,21.67,18,3,1,0,515,6.3,48,0.016,36.74,0,0,7,0,0.066,0.104,0.347,2,22,4,4,0,1,0.243,0,3,53.85,0
C100011,Company_12,UK,Dairy,2011,14,seed,2025,24.73,4.79,3.13,4.79,-0.069,0.127,1.55,2.354,7.99,100.0,0.08,3,387436.93,55926.75,18.72,34,4,0,1,503,2.06,61,0.147,7.77,0,0,0,0,0.079,0.345,0.406,0,150,2,3,0,1,0.213,0,2,58.33,0
C100012,Company_13,USA,Energy,2008,17,series_a,2025,59.04,3.9,-8.77,3.9,0.014,-0.149,1.3,0.277,14.51,100.0,0.15,1,78570.76,1256.91,25.97,36,1,0,0,463,4.92,62,0.03,25.53,0,0,1,0,0.16,0.32,0.343,0,118,4,3,0,1,0.16,1,1,66.67,0
C100013,Company_14,Nigeria,Manufacturing,2018,7,seed,2025,37.76,2.55,-1.83,2.55,0.168,-0.048,1.11,1.495,6.49,100.0,0.06,0,0.0,0.0,10.01,4,2,0,0,477,3.15,38,0.062,9.3,0,1,3,0,0.12,0.286,0.304,4,299,4,1,0,1,0.38,1,1,66.67,0
C100014,Company_15,Philippines,Software,2000,25,series_a,2025,12.73,1.4,0.25,1.4,-0.542,0.019,1.0,2.054,0.68,100.0,0.01,0,0.0,0.0,27.13,38,3,0,0,521,1.06,58,0.054,7.57,0,0,1,0,0.073,0.209,0.143,4,338,2,1,0,1,0.124,4,1,73.33,0
C100015,Company_16,Germany,Manufacturing,2006,19,mature,2025,42.4,7.97,-6.5,7.97,-0.344,-0.153,0.85,2.382,13.31,100.0,0.13,2,131571.61,25600.42,59.38,33,2,1,0,479,3.53,50,0.077,2.62,0,1,4,0,0.067,0.155,0.112,2,282,4,3,0,1,0.291,2,1,69.23,0
C100016,Company_17,USA,Energy,2011,14,series_a,2025,89.77,1.24,-4.51,1.24,0.302,-0.05,0.69,0.313,37.87,100.0,0.38,0,0.0,0.0,16.68,36,2,0,1,525,7.48,46,0.059,40.09,0,0,1,0,0.151,0.258,0.171,2,363,2,2,0,1,0.361,2,0,75.0,0
C100017,Company_18,UK,Retail,2021,4,series_a,2025,41.33,8.24,-6.86,8.24,0.872,-0.166,0.67,2.25,4.66,100.0,0.05,0,0.0,0.0,31.31,30,4,0,0,504,3.44,56,0.023,13.01,0,1,3,1,0.052,0.285,0.374,6,287,1,4,0,0,0.552,3,4,58.82,0
C100018,Company_19,UK,Energy,2017,8,seed,2025,7.65,0.13,-1.49,0.13,0.198,-0.195,1.55,2.678,3.14,100.0,0.03,0,0.0,0.0,60.78,12,4,1,0,508,0.64,51,0.043,1.35,0,1,3,0,0.088,0.23,0.182,0,245,5,2,0,0,0.236,1,2,61.54,0
C100019,Company_20,USA,Software,2021,4,series_a,2025,34.75,4.62,1.4,4.62,0.395,0.04,0.94,2.743,7.48,100.0,0.07,1,37425.26,74065.33,11.34,36,3,0,1,482,2.9,45,0.029,11.81,0,0,1,0,0.133,0.355,0.529,0,364,2,1,0,1,0.066,2,0,75.0,0
C100020,Company_21,Nigeria,Fintech,2016,9,mature,2025,22.15,1.98,3.99,1.98,0.153,0.18,2.68,2.197,8.97,100.0,0.09,2,200875.74,22899.73,36.21,26,1,0,0,547,1.85,42,0.047,12.17,0,1,5,0,0.098,0.193,0.135,6,272,5,2,0,1,0.08,2,2,64.29,0
C100021,Company_22,India,Software,2011,14,series_a,2025,29.21,4.67,5.13,4.67,0.42,0.176,2.99,1.052,11.27,100.0,0.11,1,175367.04,98424.26,16.02,10,2,0,1,495,2.43,55,0.005,5.03,0,1,3,0,0.04,0.228,0.148,4,197,5,2,0,1,0.165,1,0,72.73,0
C100022,Company_23,Kenya,E-commerce,2022,3,mature,2025,66.72,12.38,10.24,12.38,0.526,0.154,2.24,0.462,27.34,100.0,0.27,0,0.0,0.0,27.14,14,1,0,0,464,5.56,45,0.009,35.58,0,1,0,0,0.105,0.331,0.142,7,283,4,4,0,0,0.394,2,2,64.29,0
C100023,Company_24,Kenya,E-commerce,2015,10,seed,2025,50.04,6.81,3.95,6.81,0.252,0.079,2.05,2.258,4.39,100.0,0.04,1,166034.27,13758.12,20.47,30,3,0,0,475,4.17,58,0.03,18.97,0,1,6,0,0.082,0.215,0.471,4,277,3,3,0,1,0.123,0,2,58.33,0
C100024,Company_25,Bangladesh,Dairy,2006,19,seed,2025,32.12,5.28,-5.58,5.28,0.441,-0.174,1.13,0.003,2.82,100.0,0.03,1,171570.91,53175.39,31.33,29,1,1,0,486,2.68,56,0.003,2.53,0,1,2,0,0.113,0.383,0.424,7,280,3,1,0,1,0.122,2,2,64.29,0
C100025,Company_26,Philippines,E-commerce,2024,1,series_a,2025,54.67,6.54,-10.91,6.54,-0.328,-0.2,1.9,0.677,4.85,100.0,0.05,0,0.0,0.0,34.91,13,1,0,1,493,4.56,52,0.05,22.8,0,0,0,0,0.127,0.375,0.177,1,352,1,0,0,1,0.077,0,2,58.33,0
C100026,Company_27,Philippines,Logistics,2016,9,mature,2025,49.54,6.07,2.31,6.07,0.364,0.047,1.25,2.806,23.49,100.0,0.23,2,267719.85,55747.14,42.81,6,2,0,0,520,4.13,32,0.104,17.64,0,0,3,0,0.057,0.154,0.673,7,311,0,2,0,0,0.06,2,2,64.29,0
C100027,Company_28,Germany,Healthcare,2003,22,seed,2025,163.04,29.37,24.35,29.37,-0.39,0.149,1.98,2.737,18.46,100.0,0.18,2,289171.74,90994.22,24.11,23,2,0,1,477,13.59,50,0.009,85.18,0,0,6,0,0.157,0.499,0.087,6,302,2,1,0,1,0.366,3,1,71.43,0
C100028,Company_29,UK,AgTech,2004,21,seed,2025,98.19,8.77,8.07,8.77,0.153,0.082,2.66,1.674,26.96,100.0,0.27,1,50070.53,6117.99,16.11,1,3,0,0,481,8.18,38,0.106,23.41,0,1,1,0,0.119,0.245,0.011,7,125,4,3,0,1,0.07,1,2,61.54,0
C100029,Company_30,USA,E-commerce,2016,9,mature,2025,57.81,10.0,7.65,10.0,-0.021,0.132,2.49,2.756,17.59,100.0,0.18,2,145943.73,16769.46,40.04,6,3,0,1,529,4.82,51,0.034,30.47,0,0,4,0,0.125,0.185,0.342,1,198,4,2,0,1,0.471,1,0,72.73,0
C100030,Company_31,Canada,Healthcare,2002,23,seed,2025,41.04,7.5,5.7,7.5,0.118,0.139,2.53,0.327,3.41,100.0,0.03,0,0.0,0.0,6.54,23,2,0,1,517,3.42,50,0.066,1.76,0,1,6,0,0.072,0.285,0.176,3,26,4,3,0,1,0.024,1,0,72.73,0
C100031,Company_32,India,Fintech,2023,2,series_a,2025,7.09,0.26,0.83,0.26,0.057,0.117,0.72,2.447,1.37,100.0,0.01,0,0.0,0.0,29.4,21,2,0,1,506,0.59,53,0.06,1.53,0,1,1,0,0.066,0.464,0.481,0,241,4,0,0,1,0.234,0,0,70.0,0
C100032,Company_33,Nigeria,Retail,2013,12,seed,2025,12.75,0.7,-1.83,0.7,0.149,-0.143,1.99,2.028,2.89,100.0,0.03,1,71512.55,82052.0,10.03,4,2,0,0,489,1.06,56,0.077,3.07,0,1,0,0,0.166,0.278,0.492,5,299,4,1,0,0,0.039,1,0,72.73,0
C100033,Company_34,UK,AgTech,2024,1,growth,2025,3.18,0.62,-0.48,0.62,-0.05,-0.152,0.55,2.212,1.23,100.0,0.01,1,55124.22,79002.3,26.33,32,1,0,0,507,0.26,42,0.005,0.65,0,1,0,0,0.06,0.04,0.152,5,315,4,3,0,0,0.194,0,2,58.33,0
C100034,Company_35,Kenya,Logistics,2019,6,growth,2025,13.38,2.5,0.39,2.5,-0.117,0.029,1.28,1.819,1.05,100.0,0.01,1,190795.52,82694.88,19.73,13,1,0,1,470,1.12,50,0.151,0.64,0,1,3,0,0.076,0.749,0.259,2,286,2,4,0,1,0.078,1,0,72.73,0
C100035,Company_36,Brazil,E-commerce,2003,22,growth,2025,9.19,0.41,-0.98,0.41,0.288,-0.107,0.93,1.967,3.91,100.0,0.04,1,132544.78,36069.39,44.24,27,4,1,0,499,0.77,48,0.008,2.31,0,1,5,0,0.061,0.492,0.13,3,255,4,1,0,1,0.372,1,1,66.67,0
C100036,Company_37,India,AgTech,2007,18,seed,2025,15.07,1.92,-0.23,1.92,0.323,-0.015,2.09,1.842,0.64,100.0,0.01,0,0.0,0.0,40.32,37,4,0,0,443,1.26,55,0.035,0.64,0,1,7,0,0.081,0.169,0.322,4,349,5,1,0,1,0.257,1,1,66.67,0
C100037,Company_38,Nigeria,E-commerce,2017,8,seed,2025,10.09,0.23,-0.1,0.23,-0.011,-0.01,1.72,2.761,2.67,100.0,0.03,0,0.0,0.0,55.36,18,3,0,0,465,0.84,51,0.006,5.62,0,0,3,0,0.042,0.311,0.284,1,148,4,4,0,1,0.056,1,1,66.67,0
C100038,Company_39,Brazil,Energy,2021,4,growth,2025,31.58,3.73,0.53,3.73,-0.47,0.017,1.91,2.067,13.83,100.0,0.14,1,95003.71,1923.83,11.92,1,4,0,1,466,2.63,57,0.024,10.52,0,1,7,0,0.102,0.371,0.281,4,19,2,2,0,1,0.117,2,0,75.0,0
C100039,Company_40,Nigeria,Software,2006,19,seed,2025,6.76,0.87,-0.05,0.87,0.138,-0.008,1.9,1.682,2.07,100.0,0.02,1,165884.63,50327.31,13.48,19,2,0,0,513,0.56,58,0.014,1.52,0,1,5,0,0.044,0.039,0.242,7,46,2,3,0,1,0.52,0,0,70.0,0
C100040,Company_41,UK,AgTech,2012,13,series_a,2025,58.19,0.65,6.58,0.65,-0.023,0.113,1.44,1.385,14.29,100.0,0.14,3,543789.3,91029.63,18.78,24,1,0,0,481,4.85,48,0.046,16.48,1,0,4,0,0.031,0.153,0.201,4,227,2,3,0,0,0.28,2,0,75.0,0
C100041,Company_42,Germany,Logistics,2020,5,growth,2025,29.45,4.3,-2.83,4.3,-0.081,-0.096,2.95,0.77,9.73,100.0,0.1,1,194541.04,61244.2,22.27,33,2,0,0,515,2.45,38,0.039,4.02,0,1,3,0,0.082,0.208,0.335,1,21,0,1,0,1,0.407,3,3,62.5,0
C100042,Company_43,Bangladesh,AgTech,2008,17,series_a,2025,42.6,6.4,1.03,6.4,0.649,0.024,0.74,1.031,6.32,100.0,0.06,1,93080.88,40340.76,9.37,19,1,0,1,562,3.55,50,0.121,20.26,0,0,3,0,0.033,0.403,0.629,2,39,5,0,0,1,0.349,3,2,66.67,0
C100043,Company_44,Germany,Energy,2020,5,growth,2025,103.65,18.28,-13.85,18.28,0.53,-0.134,1.57,0.487,1.68,100.0,0.02,2,40968.57,73418.15,17.92,28,1,0,0,486,8.64,40,0.046,15.82,0,0,5,0,0.134,0.133,0.213,1,74,0,0,0,0,0.117,2,0,75.0,0
C100044,Company_45,UK,Healthcare,2022,3,growth,2025,55.51,3.78,-9.39,3.78,-0.001,-0.169,1.4,0.206,21.31,100.0,0.21,2,324884.45,6850.3,26.08,15,2,0,1,510,4.63,48,0.042,7.55,0,1,4,0,-0.029,0.414,0.147,2,109,2,2,0,1,0.179,1,2,61.54,0
C100045,Company_46,India,Retail,2024,1,mature,2025,84.58,1.09,3.34,1.09,-0.166,0.04,2.69,2.632,14.54,100.0,0.15,2,336879.35,29243.74,20.25,12,3,1,1,484,7.05,51,0.02,24.78,0,1,4,0,0.044,0.359,0.007,6,14,0,2,0,1,0.123,1,1,66.67,0
C100046,Company_47,UK,Software,2001,24,growth,2025,27.56,5.42,-0.3,5.42,-0.087,-0.011,2.73,0.009,0.81,100.0,0.01,1,96580.15,45596.06,24.77,35,4,0,0,498,2.3,49,0.057,8.88,0,0,0,0,0.134,0.38,0.261,2,58,0,4,0,1,0.104,1,1,66.67,0
C100047,Company_48,Philippines,Dairy,2000,25,growth,2025,20.27,0.24,-1.97,0.24,0.144,-0.097,2.01,2.06,1.34,100.0,0.01,1,28599.88,42475.83,20.15,20,1,0,1,459,1.69,47,0.081,4.4,0,1,2,0,0.138,0.121,0.246,4,165,2,1,0,1,0.186,0,2,58.33,0
C100048,Company_49,Kenya,E-commerce,2017,8,growth,2025,50.37,0.78,-1.94,0.78,0.435,-0.038,1.98,0.679,9.99,100.0,0.1,2,356964.29,2218.66,28.45,36,4,0,0,512,4.2,42,0.027,4.31,0,0,7,0,0.091,0.027,0.34,5,320,3,0,0,0,0.22,1,1,66.67,0
C100049,Company_50,UK,Manufacturing,2014,11,series_a,2025,8.99,0.67,1.21,0.67,0.089,0.134,1.44,1.422,2.05,100.0,0.02,1,123341.08,16006.84,9.52,17,1,0,0,502,0.75,44,0.073,3.82,0,1,1,0,0.057,0.282,0.029,2,110,1,2,0,1,0.304,2,1,69.23,0
