annual_revenue,net_profit,revenue_growth_yoy,profit_margin,documents_count,company_age,funding_rounds,risk_score
5372017,1667541,-0.008936907,0.012885508,6,8,6,36.78435044
2846884,-326778,0.116753799,-0.014675608,9,12,0,29.33206059
6247478,-727298,0.170367336,-0.030851187,7,13,5,31.08138104
14992038,494938,0.446522519,0.108909924,5,11,2,57.08831241
2586578,244723,0.286786375,0.065015261,9,9,6,31.62229612
2586621,-179842,0.059742212,0.106558378,6,9,1,44.70025606
15858446,1544581,0.278324355,0.128333088,6,8,5,16.91679524
7042224,1932957,0.034323521,0.09859319,4,10,3,60.07548997
2044217,632610,0.349922926,0.126043422,1,11,1,29.50610307
5624035,2716295,0.163465042,0.07513274,5,12,4,47.20521094
2056636,-1212533,0.208763657,-0.003089537,9,12,6,35.4717737
2051886,209510,0.379095598,0.154046993,8,14,3,46.99901484
4163898,-575233,0.065540372,0.038762151,8,3,3,47.98192397
482492,-2299804,0.052345818,0.014508259,5,12,0,37.39606132
582498,375978,0.149968081,0.067545749,9,2,4,6.412638131
1863025,317378,0.344605462,0.016103236,3,5,0,59.63827197
1187272,2770174,0.037678471,0.050779873,3,1,0,37.48175208
4476031,1446217,-0.119858672,0.104083775,1,3,6,46.62410813
1318461,-1036280,0.165860937,0.104383922,9,1,2,52.45093642
796272,3281138,0.286208896,0.017151895,6,13,0,31.77086535
14155995,2331550,0.36403141,0.045860624,2,3,1,49.30843822
2608337,1373146,0.164420637,0.15520331,8,13,3,26.54316231
3497392,160273,0.170628807,0.114748008,9,4,6,46.97577142
786424,-939158,0.358468088,0.225254553,9,7,0,40.35464974
1896683,-58310,-0.004369004,0.162608972,2,12,5,32.39508742
3652500,2133122,0.173377507,0.160100515,2,12,1,40.84585907
1034063,3326879,0.242850867,-0.017150799,7,5,4,21.00651748
4759713,2814865,0.273906247,0.133470225,4,5,3,45.5627187
1792929,-233274,0.158823197,0.076282524,1,13,6,47.43079742
2441947,-1179426,0.224132921,0.041431274,8,1,5,46.22152252
1791015,711329,-0.078599282,0.091761074,2,8,6,67.0390749
20837778,-2152659,0.141010191,0.146164807,3,13,6,38.29047315
3225191,984751,0.274421046,0.115058211,5,4,5,39.5297919
1135165,278596,0.102124716,0.018506834,3,10,4,18.93515078
7441216,-199054,0.227078107,0.131972124,7,5,5,68.30445085
964298,-1892054,0.2736247,0.035368872,7,2,1,13.03341889
4028334,1270400,0.178894096,0.095167818,2,12,6,44.11414492
460620,-299051,0.240455653,0.058765495,7,13,4,28.93394067
866150,-1254875,0.104472092,0.064679362,6,1,6,41.12169903
3980274,-3808393,0.195206646,0.133637008,9,9,5,16.4549331
6841151,458727,0.29322594,0.00718644,9,2,4,56.04994246
3880087,3158377,0.238836755,0.216163655,2,6,4,22.80676723
2912002,2991888,0.149616248,-0.047476025,7,1,0,60.99255604
2419076,-185644,0.246905969,0.038163262,5,1,0,23.30301187
745252,-403318,0.305753175,0.105914832,6,9,0,57.55382354
1591449,1203161,-0.025992953,0.120901992,1,4,5,25.04263222
2062359,-997578,0.359088888,0.0729667,7,9,3,28.9370252
9408482,952687,0.179649431,0.075982651,6,11,1,39.96677041
4609446,1649120,0.271058792,0.108738506,4,5,5,24.73731934
560710,2340399,0.363669631,0.063825137,1,7,6,24.20723588
4520277,349768,0.055399156,0.177522688,9,1,0,24.94585655
2224221,194489,0.13486708,0.138754438,4,6,4,45.73940052
1661245,-816973,0.185374156,0.141097705,2,8,5,39.99191082
6026495,-740320,0.125949577,0.012369029,8,14,4,40.9473621
9165889,160281,0.428192389,0.07444281,2,1,6,34.15660862
8295967,1051048,0.117187349,0.058967384,5,9,4,49.8765982
1412373,1870376,0.153334386,0.009607904,6,3,4,58.90104456
2399540,-704768,0.244526684,0.105211493,8,1,2,50.36110716
4552847,2739032,0.075742057,0.042364797,1,1,3,36.23851208
8671437,93314,0.172518315,0.125878268,1,13,1,18.02586849
2024484,467949,0.258094391,0.005086591,4,14,1,5
2715104,-620817,0.180056751,0.200332843,5,11,0,38.83243269
1081289,-3136360,0.208793577,0.017256714,9,6,2,5
988351,1826068,0.156480147,0.095351164,7,11,5,36.412504
7367034,1605265,0.038263563,0.135430152,7,6,5,65.24721758
12688923,78008,0.258591185,0.04005517,8,1,1,19.23753909
3041890,600486,0.430591969,0.139672805,5,14,3,16.85007494
8917559,1273908,0.222208196,-0.006042852,5,14,4,51.46481613
4693250,-1843818,0.247031694,0.181648239,1,3,6,5
1714925,-293579,0.303126731,0.080990449,9,7,0,46.87254653
4692122,1691397,0.06768034,0.038251201,6,10,3,66.43316696
15218716,-1381434,0.424301759,0.059057276,9,3,1,24.29527163
3153974,940336,0.244279456,0.136624349,3,3,2,21.20368455
15629077,-1534872,0.415822828,0.03908813,5,3,0,50.62041936
238054,1199644,0.132036041,0.027544962,2,12,1,18.92661201
7436437,446537,0.438167431,0.064492438,5,7,5,54.59473703
3566328,-1922697,0.313018659,-0.002387348,8,4,0,20.39242129
2424152,2247109,0.28636481,0.207438074,2,4,1,71.83124204
3583178,-601887,0.248082935,0.040352379,8,3,5,51.92150162
447947,-715378,0.190176566,0.138213175,4,10,6,40.68478858
2624308,800853,0.364063799,0.094662906,1,11,5,70.79358898
4672068,2222956,0.236843184,0.011082616,5,9,4,58.56778674
14330404,-1023732,-0.016048364,0.07958317,1,2,2,46.63510198
1946862,592519,0.085937625,0.134880195,7,4,4,6.462041193
1456441,1143224,0.19769851,0.066821707,8,8,1,27.37310726
1979278,1539658,0.257199878,0.163517906,3,6,6,59.5373726
8165284,764662,0.213209381,0.151506077,3,14,3,16.59773122
4541423,-50541,0.366276495,0.14432404,7,7,6,26.21698108
1924621,-741385,-0.014132224,0.047824026,4,13,6,21.60223982
5461682,629215,0.237230552,0.004411029,3,7,6,47.24242287
3602280,-1108208,0.001842493,0.037048868,8,2,4,57.3450126
8611809,-3882025,0.311165475,0.093736866,3,4,3,57.36278053
1620016,1154839,0.208664954,0.11820507,7,10,5,24.64925087
2355674,1855902,0.270353197,-0.072009998,2,10,1,46.9958534
2208649,-3044398,0.116334045,0.079432076,1,6,2,23.80211289
756520,-1014596,0.373535792,0.091066246,6,3,3,36.210127
4395624,1428731,0.34500696,0.060571902,8,9,1,49.36302578
4244163,3586243,0.290025316,0.170389169,1,13,3,59.10475606
3285776,531190,0.20445793,0.109524605,9,4,4,5
2585457,-592004,0.289582874,0.171713434,3,10,1,41.77542445
793833,225655,0.135172892,0.064882764,3,13,4,65.33127946
2146511,2562314,0.322666679,0.145623424,4,2,0,44.17994973
2320482,-468946,0.417937707,0.194454648,1,6,1,41.48703891
1465522,-698788,0.348473267,0.171818541,9,1,3,29.86587127
2782093,-224115,0.132447704,0.003550088,3,6,0,64.85355342
4896596,-929992,0.263370078,0.062242675,4,13,4,30.69788629
21556455,684005,0.064823015,0.055838471,1,12,4,38.19731097
3892560,2937017,0.288686837,0.114247817,4,10,3,31.53616279
4229314,984618,0.27407241,0.128044749,1,1,0,41.94751915
3034490,121469,-0.004377961,0.021277513,5,14,6,65.66173598
479849,62283,0.080585939,0.084748696,5,8,5,23.69008245
3183482,-1844786,0.186023332,-0.061394913,7,5,2,42.02595876
3471961,1824664,0.18389683,0.18093615,8,6,3,47.039161
38387487,383244,0.074862768,0.044133803,4,2,4,25.37802157
2696968,229280,0.266677448,0.083910476,7,2,1,38.93771459
4419545,5289661,0.250176833,0.05832452,4,12,0,73.32412215
3157490,948129,0.196687704,0.16022193,3,9,5,8.167192098
1015937,-627686,0.12930502,-0.118625451,6,3,2,32.41838671
10250354,-139536,0.345844855,0.078837276,4,6,1,44.51007112
6933900,2222668,0.418648854,0.072592687,3,10,0,33.23302655
7210378,669905,0.161972622,0.048245453,9,5,5,91.95245447
1316664,-1657416,0.14653997,0.200835858,5,14,3,49.87643326
13293613,1878843,0.27894492,0.017886938,7,12,5,21.20135507
804638,-502216,0.177036474,0.134025732,6,4,3,5
5878764,3309946,0.203272336,0.104937695,5,10,6,46.12496553
29222678,2120072,0.308758378,0.168306348,7,2,0,26.39885577
1214039,-170982,-0.009122731,0.033296764,6,8,5,63.20017311
1855569,2421524,0.378196279,0.028692177,2,10,2,35.05241987
3611563,601783,0.228721663,0.156724894,3,7,5,29.76967047
1975879,1779160,0.170620823,0.109772492,2,11,0,29.46555117
